"","A1257","A1258","A1259","A1260","A1261","A1262","A1263","A1264","A1265","A1267","A1268","A1269","A1270","A1272","A1273","A1274","A1275","A1276","A1277","A1279","A1302","A1304","A1307","A1309","A1310","A1311","A1312","A1313","A1314","A1316","A1317","A1318","A1319","A1320","A1321","B1005","B1007","B1008","B1009","B1010","B1011","B1012","B1019","B1053","B1055","B1057","B1058","B1060","B1061","B1062","B1075","B1102","B1103","B1104","B1105","B1106","B1107","B1110","B1111","B1151","B1152","B1153","B1155","B1157","B1158","B1159","B1160","B1161","B1201","B1202","B1203","B1205","B1206","B1207","B1208","B1209","B1210","B1211","B1216","B1217","B1218","B1219","B1220","M1345","M1347","M1351","M1353","M1354","M1356","M1357","M1358","M1359","M1360","M1361","M1362","M1363","M1364","M1365","M1366","M1367","M1368","M1463","M1464","M1465","M1467","M1469","M1471"
"B1155",1.66766,1.59681,1.59939,1.62676,1.56888,1.60892,1.72985,1.63412,1.6762,1.70758,1.62533,1.6434,1.59932,1.65424,1.66636,1.62826,1.62263,1.64159,1.63699,1.61733,1.58164,1.61063,1.63295,1.63622,1.63163,1.58084,1.61339,1.62971,1.67952,1.60728,1.65162,1.66757,1.68151,1.61399,1.64218,1.63055,1.67517,1.67099,1.64825,1.67584,1.64651,1.6012,1.62656,1.61725,1.63448,1.68477,1.69502,1.74858,1.74882,1.69449,1.5947,1.6458,1.68538,1.71838,1.75115,1.62926,1.74212,1.69298,1.69123,1.65132,1.67827,1.65321,2,1.66478,1.64394,1.70897,1.74971,1.72846,1.64376,1.7378,1.63099,1.59576,1.64322,1.64874,1.73147,1.74024,1.71713,1.61763,1.70534,1.60564,1.58758,1.59656,1.59721,1.55597,1.66423,1.6378,1.63624,1.63905,1.63969,1.63801,1.58226,1.62864,1.63002,1.63967,1.63961,1.64806,1.62954,1.62214,1.61925,1.57817,1.69699,1.59715,1.61159,1.59593,1.64082,1.69362,1.68278
"B1157",1.71711,1.76333,1.709,1.69917,1.62708,1.5509,1.65682,1.73107,1.73047,1.70112,1.70913,1.74233,1.70046,1.76632,1.78354,1.75024,1.72733,1.75608,1.71126,1.6529,1.65881,1.66531,1.64651,1.64461,1.64266,1.65187,1.66184,1.65718,1.66606,1.64279,1.66998,1.69773,1.68635,1.73304,1.66425,1.7017,1.66177,1.62084,1.63376,1.7661,1.73993,1.69943,1.71012,1.64947,1.74842,1.62288,1.66528,1.75121,1.71157,1.66306,1.69766,1.68144,1.69019,1.72027,1.69858,1.68663,1.66399,1.67778,1.6924,1.65978,1.74747,1.65887,1.66478,2,1.61326,1.65361,1.67943,1.68,1.68919,1.6373,1.63476,1.67524,1.70076,1.77438,1.69476,1.7521,1.62887,1.73324,1.75996,1.6461,1.60668,1.56737,1.6166,1.5229,1.60411,1.59438,1.59292,1.59585,1.59511,1.59417,1.63036,1.58555,1.59815,1.59588,1.62375,1.62632,1.68823,1.62547,1.65943,1.6687,1.65136,1.63599,1.63949,1.57319,1.68396,1.68852,1.65944
"B1158",1.69069,1.59974,1.5928,1.61889,1.60076,1.58206,1.67077,1.61832,1.61035,1.69259,1.65476,1.63318,1.6159,1.6601,1.6757,1.63358,1.60575,1.62431,1.60498,1.58991,1.59977,1.60053,1.62562,1.62383,1.6234,1.58791,1.62797,1.65776,1.73158,1.65201,1.66765,1.63889,1.63644,1.56291,1.59073,1.6216,1.64413,1.64812,1.62602,1.6617,1.65596,1.58095,1.64336,1.60111,1.65437,1.67653,1.75688,1.67401,1.63852,1.65905,1.66788,1.69674,1.6472,1.65344,1.65318,1.66391,1.66171,1.64815,1.656,1.5957,1.64256,1.61359,1.64394,1.61326,2,1.74138,1.66563,1.59384,1.58656,1.6211,1.57889,1.60927,1.61654,1.63741,1.60097,1.66305,1.57731,1.60545,1.62429,1.56901,1.5774,1.52702,1.64092,1.51494,1.59635,1.5462,1.54529,1.5469,1.54674,1.54653,1.59632,1.54386,1.56664,1.5479,1.61718,1.55045,1.57948,1.5429,1.59108,1.58031,1.60054,1.63213,1.60819,1.635,1.59758,1.67306,1.7816
"B1159",1.65691,1.60383,1.60275,1.61649,1.58769,1.57899,1.66856,1.62273,1.65479,1.73203,1.62626,1.64409,1.59525,1.68082,1.67691,1.65131,1.61638,1.63369,1.63376,1.56188,1.61183,1.62884,1.62581,1.62317,1.62182,1.6136,1.64755,1.64026,1.71701,1.57419,1.64526,1.63472,1.64682,1.60787,1.62124,1.63588,1.74724,1.66457,1.62139,1.65738,1.70352,1.57775,1.64962,1.59554,1.63092,1.64063,1.90328,1.67993,1.68074,1.65349,1.58061,1.63981,1.73831,1.65183,1.68058,1.62738,1.69465,1.72476,1.70289,1.59423,1.62223,1.66907,1.70897,1.65361,1.74138,2,1.74778,1.67376,1.68594,1.70729,1.69361,1.6008,1.62929,1.68502,1.63438,1.68104,1.70732,1.61595,1.61042,1.54124,1.60617,1.57193,1.62657,1.49804,1.66299,1.60372,1.60237,1.60573,1.6055,1.60352,1.54953,1.57472,1.62591,1.60462,1.6088,1.58891,1.62152,1.5948,1.63097,1.53968,1.66306,1.66194,1.64784,1.57766,1.61762,1.71605,1.71673
"B1160",1.68163,1.63697,1.62827,1.62702,1.61957,1.65885,1.67922,1.68702,1.68534,1.68189,1.65572,1.66948,1.64844,1.65603,1.68089,1.63646,1.6109,1.65204,1.6479,1.60296,1.61995,1.64418,1.63769,1.63613,1.63405,1.61657,1.64026,1.64334,1.69866,1.57401,1.66424,1.66395,1.67194,1.60109,1.6473,1.61945,1.66506,1.62532,1.62697,1.69407,1.68389,1.64264,1.64932,1.61508,1.64947,1.70271,1.73861,1.70678,1.69941,1.64003,1.60224,1.65428,1.71473,1.72635,1.74279,1.61628,1.70377,1.68009,1.69001,1.61659,1.6697,1.67447,1.74971,1.67943,1.66563,1.74778,2,1.68558,1.66785,1.67906,1.67572,1.61573,1.62695,1.70226,1.64269,1.68338,1.66061,1.6211,1.65594,1.55572,1.62927,1.57625,1.61897,1.5072,1.62607,1.61033,1.60878,1.61121,1.61148,1.61039,1.57865,1.60227,1.61885,1.61123,1.63631,1.59191,1.63768,1.59274,1.63211,1.5961,1.70447,1.6388,1.64521,1.58836,1.62345,1.70762,1.65387
"B1161",1.69461,1.64721,1.61795,1.6338,1.61753,1.63065,1.70612,1.64691,1.64522,1.70436,1.65664,1.6787,1.64372,1.6776,1.67036,1.65344,1.6596,1.64908,1.6524,1.61426,1.6253,1.62198,1.67211,1.67536,1.66931,1.61669,1.67709,1.65724,1.67007,1.62065,1.65192,1.6432,1.63227,1.64602,1.67082,1.66122,1.70376,1.66628,1.64276,1.70198,1.67695,1.63475,1.64874,1.6443,1.66179,1.62977,1.69384,1.70418,1.7042,1.71176,1.62951,1.65958,1.66879,1.65842,1.68725,1.66095,1.72359,1.74648,1.72094,1.68345,1.6748,1.65653,1.72846,1.68,1.59384,1.67376,1.68558,2,1.63985,1.66722,1.60504,1.60475,1.66139,1.68309,1.71033,1.74243,1.79227,1.69226,1.76939,1.64341,1.64957,1.65429,1.60461,1.5609,1.62842,1.65269,1.65137,1.65382,1.65335,1.65324,1.58691,1.63638,1.65522,1.65493,1.6338,1.69713,1.61518,1.62615,1.61325,1.59987,1.70034,1.57052,1.6668,1.58631,1.71286,1.61765,1.68248
"B1201",1.67463,1.74198,1.61297,1.63418,1.62751,1.58773,1.61088,1.6501,1.68973,1.6579,1.61067,1.63846,1.5892,1.67037,1.76307,1.67256,1.62004,1.6338,1.61997,1.70721,1.67863,1.70013,1.62497,1.62228,1.62026,1.67903,1.63763,1.61767,1.60252,1.59661,1.65776,1.69197,1.68491,1.63159,1.6451,1.63752,1.63095,1.64858,1.61258,1.67883,1.65506,1.59125,1.68624,1.58716,1.65458,1.61253,1.67574,1.64973,1.66129,1.60938,1.62334,1.61173,1.64974,1.6612,1.67874,1.63347,1.64079,1.59612,1.6243,1.64333,1.66616,1.65035,1.64376,1.68919,1.58656,1.68594,1.66785,1.63985,2,1.64001,1.71009,1.68075,1.74472,1.72032,1.65707,1.68974,1.59821,1.71335,1.68979,1.67861,1.60209,1.55983,1.65802,1.56416,1.61282,1.70078,1.69941,1.70296,1.70328,1.70061,1.59589,1.6795,1.69969,1.70197,1.63404,1.59178,1.6271,1.6155,1.69536,1.58741,1.63278,1.63871,1.59786,1.55444,1.62968,1.66813,1.6899
"B1202",1.63943,1.60679,1.5797,1.61995,1.5535,1.52069,1.703,1.60552,1.62592,1.66292,1.59181,1.5988,1.55801,1.66162,1.68449,1.65067,1.59707,1.63413,1.59822,1.62513,1.65554,1.62532,1.58897,1.58673,1.58582,1.63333,1.59567,1.59949,1.71689,1.59391,1.61149,1.63217,1.62485,1.65591,1.66924,1.6235,1.69983,1.61978,1.59194,1.65209,1.67048,1.5755,1.63719,1.5613,1.64623,1.65159,1.71808,1.69485,1.70536,1.63048,1.57089,1.6341,1.62593,1.69443,1.75126,1.62227,1.7369,1.71738,1.68487,1.58923,1.66264,1.61194,1.7378,1.6373,1.6211,1.70729,1.67906,1.66722,1.64001,2,1.74493,1.64341,1.66976,1.64169,1.64124,1.66295,1.70564,1.62515,1.60929,1.56713,1.56328,1.53475,1.62484,1.60511,1.63452,1.63939,1.63803,1.64,1.63979,1.64031,1.61592,1.63939,1.6525,1.64119,1.58877,1.53696,1.62318,1.6417,1.59857,1.5873,1.61043,1.60063,1.59187,1.54992,1.62361,1.67048,1.65883
"B1203",1.65071,1.64093,1.59839,1.60463,1.5987,1.61158,1.58891,1.64161,1.65412,1.59215,1.58765,1.57067,1.60043,1.65454,1.69512,1.64802,1.58004,1.62841,1.59818,1.6337,1.64885,1.6623,1.56109,1.5572,1.5577,1.64209,1.55097,1.58966,1.65222,1.57274,1.6248,1.67395,1.64406,1.65006,1.69128,1.63295,1.63539,1.61926,1.65018,1.62579,1.66221,1.58726,1.66739,1.50922,1.6157,1.68985,1.67793,1.59589,1.64392,1.57598,1.56309,1.5956,1.6301,1.62171,1.65775,1.58795,1.64659,1.66023,1.64905,1.58739,1.63614,1.59656,1.63099,1.63476,1.57889,1.69361,1.67572,1.60504,1.71009,1.74493,2,1.65698,1.6337,1.62017,1.6093,1.62152,1.62657,1.65398,1.59828,1.54592,1.56819,1.51957,1.59959,1.51609,1.57211,1.60568,1.60493,1.60824,1.60809,1.60494,1.59412,1.64392,1.61548,1.60699,1.58368,1.5263,1.59469,1.661,1.66499,1.6336,1.60247,1.68199,1.60575,1.58839,1.56311,1.63844,1.63154
"B1205",1.66993,1.75763,1.72711,1.63326,1.60808,1.57868,1.67506,1.70369,1.63664,1.68906,1.6597,1.65333,1.63434,1.75965,1.7646,1.75239,1.64897,1.66172,1.63783,1.67644,1.6492,1.68771,1.62184,1.61818,1.61818,1.67517,1.6207,1.64426,1.61634,1.62793,1.6985,1.66216,1.65352,1.6421,1.69653,1.71498,1.62824,1.62122,1.62583,1.6954,1.6568,1.67778,1.67172,1.60839,1.70765,1.63514,1.646,1.67608,1.6424,1.61208,1.60725,1.66172,1.59362,1.63568,1.65121,1.67518,1.61988,1.61753,1.63276,1.71015,1.70312,1.59512,1.59576,1.67524,1.60927,1.6008,1.61573,1.60475,1.68075,1.64341,1.65698,2,1.76897,1.70988,1.69719,1.75861,1.57762,1.70354,1.69596,1.73071,1.58325,1.56424,1.63316,1.58146,1.60878,1.6475,1.64633,1.64961,1.64924,1.64686,1.75629,1.67055,1.64166,1.64895,1.58712,1.60192,1.63408,1.66499,1.60147,1.62289,1.60823,1.6082,1.59986,1.59362,1.68032,1.63378,1.71926
"B1206",1.69987,1.7302,1.66121,1.63932,1.61391,1.55047,1.67572,1.65163,1.6537,1.69879,1.6414,1.65145,1.6082,1.68591,1.78114,1.71142,1.62643,1.63192,1.6304,1.71332,1.66583,1.7182,1.6635,1.66165,1.66022,1.64627,1.67778,1.64269,1.63904,1.63944,1.69466,1.65614,1.65982,1.63324,1.66179,1.64265,1.62046,1.63374,1.62242,1.69469,1.66755,1.64562,1.66083,1.66603,1.67553,1.63599,1.67718,1.69403,1.6769,1.65032,1.62121,1.65329,1.64659,1.69203,1.68538,1.65147,1.6546,1.61369,1.64217,1.71611,1.6974,1.63337,1.64322,1.70076,1.61654,1.62929,1.62695,1.66139,1.74472,1.66976,1.6337,1.76897,2,1.71949,1.78164,1.78027,1.61128,1.72745,1.72061,1.84136,1.62589,1.58543,1.68049,1.61567,1.63783,1.67178,1.67102,1.67432,1.67417,1.67292,1.71331,1.69373,1.68099,1.67394,1.61306,1.62721,1.63564,1.62272,1.61813,1.57677,1.65395,1.58985,1.6187,1.57328,1.69119,1.65027,1.73296
"B1207",1.70685,1.76076,1.7319,1.72977,1.63894,1.55975,1.70528,1.71709,1.71957,1.75958,1.71767,1.71973,1.66589,1.768,1.81307,1.7674,1.72405,1.771,1.72397,1.66727,1.65645,1.68869,1.66401,1.66328,1.65817,1.66628,1.66364,1.68091,1.66885,1.62034,1.73111,1.70856,1.70871,1.71155,1.66324,1.72515,1.67626,1.63845,1.60568,1.77297,1.77035,1.70044,1.77261,1.66803,1.74239,1.63403,1.70785,1.75143,1.69723,1.65556,1.72009,1.69933,1.68044,1.75114,1.75253,1.70499,1.65885,1.65608,1.69155,1.68129,1.76396,1.66785,1.64874,1.77438,1.63741,1.68502,1.70226,1.68309,1.72032,1.64169,1.62017,1.70988,1.71949,2,1.69024,1.76151,1.64655,1.69141,1.7035,1.6609,1.64087,1.60453,1.6327,1.52248,1.65973,1.59002,1.58916,1.5935,1.59269,1.59032,1.63914,1.57939,1.61833,1.59156,1.6327,1.63219,1.68614,1.62353,1.70914,1.67733,1.67892,1.63349,1.62108,1.56255,1.68765,1.70418,1.68692
"B1208",1.67646,1.6656,1.66993,1.66676,1.63546,1.58603,1.68225,1.67087,1.65835,1.71755,1.6277,1.65859,1.61603,1.68854,1.71498,1.68998,1.65466,1.65726,1.64994,1.67156,1.59636,1.66419,1.68518,1.68754,1.68356,1.60872,1.68397,1.65215,1.60617,1.64548,1.71188,1.68016,1.68507,1.65162,1.62405,1.67719,1.67393,1.63183,1.61528,1.71572,1.66499,1.6403,1.65366,1.63609,1.68905,1.66107,1.67086,1.73413,1.70418,1.6816,1.63452,1.67035,1.675,1.69724,1.67448,1.65888,1.66729,1.64744,1.65738,1.72311,1.69017,1.65938,1.73147,1.69476,1.60097,1.63438,1.64269,1.71033,1.65707,1.64124,1.6093,1.69719,1.78164,1.69024,2,1.89837,1.64913,1.70708,1.74656,1.7462,1.63139,1.66358,1.65919,1.57432,1.6319,1.63919,1.63787,1.64075,1.64038,1.6386,1.69755,1.66446,1.61763,1.63993,1.64946,1.69412,1.62318,1.64385,1.64581,1.594,1.67031,1.60761,1.63763,1.58182,1.70541,1.68577,1.6772
"B1209",1.75988,1.75427,1.79258,1.72088,1.69531,1.59939,1.74907,1.77058,1.73457,1.80243,1.72785,1.74854,1.68994,1.79249,1.80195,1.80795,1.70892,1.71986,1.70672,1.72015,1.64434,1.71177,1.71918,1.72508,1.71934,1.6584,1.73084,1.73352,1.67652,1.73885,1.75491,1.7385,1.72918,1.71274,1.67248,1.78497,1.72717,1.69792,1.66585,1.79775,1.71556,1.75872,1.71749,1.75249,1.75522,1.6914,1.72359,1.78544,1.75449,1.73778,1.71751,1.75703,1.70065,1.75538,1.73151,1.76425,1.7099,1.70169,1.71211,1.78767,1.75742,1.68834,1.74024,1.7521,1.66305,1.68104,1.68338,1.74243,1.68974,1.66295,1.62152,1.75861,1.78027,1.76151,1.89837,2,1.69143,1.75298,1.77954,1.76443,1.68241,1.68019,1.70736,1.61301,1.69074,1.66945,1.66845,1.67164,1.6713,1.66924,1.68941,1.66311,1.65649,1.67014,1.71061,1.72149,1.74643,1.68974,1.68109,1.65762,1.73141,1.65259,1.68527,1.63143,1.76373,1.73824,1.73157
"B1210",1.62611,1.57314,1.60228,1.61655,1.55453,1.59366,1.73161,1.61588,1.62318,1.67502,1.6089,1.61947,1.58725,1.65165,1.6258,1.63027,1.62802,1.59514,1.60762,1.57552,1.56495,1.58202,1.59507,1.59874,1.59167,1.56057,1.5932,1.60111,1.65476,1.58014,1.6114,1.6073,1.59355,1.63421,1.69274,1.61983,1.75269,1.67924,1.61402,1.63294,1.6419,1.57657,1.60957,1.62113,1.61399,1.59595,1.69721,1.63043,1.66979,1.63718,1.56315,1.62634,1.62778,1.63569,1.65435,1.61182,1.66199,1.73378,1.70498,1.62395,1.60473,1.58441,1.71713,1.62887,1.57731,1.70732,1.66061,1.79227,1.59821,1.70564,1.62657,1.57762,1.61128,1.64655,1.64913,1.69143,2,1.62548,1.63896,1.56214,1.58343,1.57647,1.54424,1.49459,1.59552,1.58271,1.58222,1.58398,1.5836,1.58334,1.5525,1.56426,1.59632,1.58414,1.55606,1.6064,1.58137,1.64051,1.57017,1.57535,1.64675,1.58266,1.61019,1.52913,1.62115,1.60987,1.62354
"B1211",1.71792,1.78643,1.63065,1.69708,1.67851,1.61757,1.6754,1.66963,1.69268,1.69537,1.68969,1.69439,1.64656,1.69167,1.71934,1.67148,1.72182,1.73839,1.71579,1.7011,1.72225,1.69453,1.67472,1.67134,1.67425,1.72115,1.68027,1.67988,1.64472,1.6316,1.69396,1.67091,1.67705,1.70523,1.64944,1.62738,1.645,1.64986,1.64532,1.75146,1.68913,1.61869,1.68166,1.61449,1.72839,1.66012,1.65107,1.69854,1.67007,1.68849,1.66994,1.66935,1.65298,1.68795,1.67133,1.70464,1.66508,1.60399,1.6163,1.65039,1.72195,1.65517,1.61763,1.73324,1.60545,1.61595,1.6211,1.69226,1.71335,1.62515,1.65398,1.70354,1.72745,1.69141,1.70708,1.75298,1.62548,2,1.73521,1.67503,1.6165,1.60966,1.68693,1.58948,1.59154,1.64198,1.64095,1.64372,1.64367,1.64158,1.65489,1.64724,1.67462,1.64394,1.6449,1.66993,1.64352,1.64315,1.64329,1.64005,1.63438,1.6552,1.65403,1.60781,1.67941,1.65428,1.68299
"B1216",1.7168,1.71708,1.65057,1.7014,1.63391,1.63019,1.67858,1.67511,1.69819,1.70518,1.6845,1.70838,1.6669,1.70651,1.73827,1.664,1.70171,1.70823,1.7048,1.64523,1.65576,1.6918,1.67487,1.67677,1.67377,1.64033,1.67506,1.69181,1.64199,1.65401,1.69475,1.67164,1.67118,1.67535,1.65575,1.66727,1.6461,1.66567,1.66292,1.75233,1.72963,1.63404,1.68531,1.63778,1.71548,1.66108,1.63624,1.74589,1.69961,1.69717,1.69539,1.67725,1.63753,1.69344,1.68203,1.70417,1.68348,1.63791,1.63593,1.72576,1.72865,1.66849,1.70534,1.75996,1.62429,1.61042,1.65594,1.76939,1.68979,1.60929,1.59828,1.69596,1.72061,1.7035,1.74656,1.77954,1.63896,1.73521,2,1.73533,1.63088,1.61233,1.62176,1.55803,1.62602,1.64754,1.64598,1.64882,1.64823,1.64746,1.63645,1.62785,1.62537,1.65012,1.62953,1.6875,1.61942,1.61632,1.65044,1.62472,1.68238,1.59661,1.61891,1.60448,1.72151,1.64541,1.71788
"B1217",1.65479,1.68601,1.63366,1.58978,1.56087,1.53605,1.63753,1.5911,1.59189,1.64538,1.61176,1.61908,1.57405,1.63975,1.74012,1.66475,1.58957,1.58073,1.59873,1.6544,1.61456,1.66091,1.6062,1.6062,1.6009,1.58678,1.62106,1.58885,1.56705,1.61699,1.64687,1.61341,1.60458,1.56993,1.60717,1.61465,1.54848,1.58903,1.57977,1.64774,1.60265,1.61782,1.62405,1.73504,1.63679,1.57448,1.5725,1.64189,1.61981,1.63451,1.60619,1.60522,1.57854,1.62068,1.61629,1.63785,1.64317,1.56654,1.59496,1.75474,1.65101,1.58322,1.60564,1.6461,1.56901,1.54124,1.55572,1.64341,1.67861,1.56713,1.54592,1.73071,1.84136,1.6609,1.7462,1.76443,1.56214,1.67503,1.73533,2,1.55491,1.55901,1.62679,1.65399,1.59226,1.63876,1.63763,1.642,1.6409,1.63944,1.7159,1.6335,1.62484,1.64135,1.56198,1.66975,1.62771,1.59319,1.55784,1.52528,1.62057,1.55513,1.5535,1.53608,1.66887,1.60022,1.67215
"B1218",1.7074,1.62405,1.59868,1.6091,1.70172,1.55894,1.61226,1.64577,1.63428,1.65442,1.67365,1.68972,1.69439,1.64368,1.64824,1.63314,1.60584,1.59125,1.59894,1.62279,1.61399,1.62252,1.71136,1.71377,1.71531,1.61276,1.73285,1.7414,1.61841,1.58653,1.64464,1.6258,1.60825,1.62096,1.60482,1.64975,1.6065,1.57068,1.58391,1.71933,1.6412,1.61716,1.61978,1.56713,1.63477,1.69037,1.68222,1.64334,1.61655,1.6445,1.62299,1.60291,1.69834,1.65942,1.63007,1.63649,1.60339,1.56648,1.56638,1.5861,1.63511,1.68681,1.58758,1.60668,1.5774,1.60617,1.62927,1.64957,1.60209,1.56328,1.56819,1.58325,1.62589,1.64087,1.63139,1.68241,1.58343,1.6165,1.63088,1.55491,2,1.80432,1.72693,1.49828,1.63196,1.53214,1.53089,1.53372,1.53306,1.53211,1.51768,1.54162,1.53422,1.53414,1.66498,1.59864,1.56814,1.60017,1.60468,1.62186,1.6401,1.53374,1.69301,1.57569,1.62501,1.60342,1.60811
"B1219",1.66506,1.58342,1.57849,1.61814,1.69206,1.56762,1.59996,1.59869,1.60242,1.62915,1.62722,1.68331,1.67856,1.6031,1.58774,1.60189,1.59491,1.56015,1.61293,1.5728,1.5773,1.56643,1.69218,1.69443,1.69513,1.58991,1.71551,1.70145,1.57452,1.54688,1.59343,1.59177,1.59528,1.60486,1.58351,1.6054,1.5924,1.54262,1.57779,1.6971,1.59081,1.59341,1.56914,1.52546,1.64007,1.62671,1.6229,1.6141,1.58325,1.5929,1.59352,1.57415,1.6408,1.58477,1.57741,1.58103,1.58954,1.56239,1.5479,1.57819,1.61326,1.6933,1.59656,1.56737,1.52702,1.57193,1.57625,1.65429,1.55983,1.53475,1.51957,1.56424,1.58543,1.60453,1.66358,1.68019,1.57647,1.60966,1.61233,1.55901,1.80432,2,1.66355,1.51449,1.60358,1.5548,1.55274,1.55531,1.55424,1.55319,1.52158,1.54844,1.54348,1.555,1.6403,1.70831,1.53184,1.59092,1.55228,1.57347,1.60599,1.5122,1.70401,1.557,1.62425,1.56824,1.58276
"B1220",1.69861,1.66236,1.6017,1.64723,1.67394,1.52343,1.6177,1.63402,1.61783,1.66213,1.66596,1.66089,1.60754,1.65483,1.66479,1.65434,1.60119,1.61507,1.61768,1.63989,1.67384,1.70227,1.6997,1.70155,1.70249,1.65798,1.71494,1.72386,1.66072,1.65155,1.63615,1.60638,1.6185,1.59859,1.56222,1.62367,1.5751,1.57606,1.55951,1.70869,1.65648,1.59254,1.63651,1.57747,1.63961,1.63794,1.66836,1.65477,1.62306,1.70238,1.67347,1.62334,1.69293,1.67053,1.64322,1.69534,1.66036,1.57274,1.56718,1.63798,1.63514,1.69826,1.59721,1.6166,1.64092,1.62657,1.61897,1.60461,1.65802,1.62484,1.59959,1.63316,1.68049,1.6327,1.65919,1.70736,1.54424,1.68693,1.62176,1.62679,1.72693,1.66355,2,1.5847,1.62849,1.61155,1.61076,1.61407,1.61388,1.61103,1.58567,1.57879,1.62803,1.61308,1.63209,1.66158,1.63014,1.60897,1.58917,1.56307,1.60928,1.55233,1.64811,1.60013,1.62144,1.64684,1.65785
"M1345",1.55046,1.57655,1.47214,1.4962,1.52091,1.42472,1.53616,1.50315,1.5154,1.55958,1.5364,1.57227,1.52137,1.5383,1.57972,1.55974,1.51197,1.52286,1.54687,1.55746,1.54925,1.55925,1.5348,1.53727,1.53241,1.52424,1.54014,1.5435,1.5378,1.52372,1.52217,1.51763,1.5406,1.51668,1.49868,1.49504,1.52676,1.47922,1.51858,1.56406,1.52964,1.48828,1.5177,1.56744,1.54845,1.52415,1.51947,1.58471,1.56304,1.57337,1.53635,1.50836,1.53281,1.54187,1.54046,1.56305,1.71862,1.53108,1.50596,1.56474,1.55482,1.54615,1.55597,1.5229,1.51494,1.49804,1.5072,1.5609,1.56416,1.60511,1.51609,1.58146,1.61567,1.52248,1.57432,1.61301,1.49459,1.58948,1.55803,1.65399,1.49828,1.51449,1.5847,2,1.55595,1.65281,1.65336,1.65461,1.65388,1.65424,1.62337,1.61333,1.6145,1.65622,1.53185,1.60992,1.5552,1.55571,1.50303,1.47348,1.55075,1.48758,1.52922,1.50128,1.61474,1.53617,1.58835
