"","Line","Env","PH","FLW","Lg","Exs","CulmL","PnN","PedL","PnL","Flg.LL","Flg.LW","Flg.LA","SPn","FGP","GrL","GrW","LBR","X1000GW","YPP","YLD"
"534","B1232","2012WSRYT",115.5,101.5,1.2,1.3,"90.6",12.9,2.2,24.4,30,1.1,22.1,108.2,1106.2,9.9,2.3,4.3,25.1,30,5693.8
"535","B1086","2012WSRYT",123.5,92.5,1.2,1.6,"101.4",12.1,8.9,23,30.6,1.1,23.2,107.7,1083.8,9.9,2.4,4.1,24.3,28.7,4919.4
"536","M1383","2012WSRYT",107.4,91.1,2.5,1.3,"83.2",12.1,5.9,22.8,31.5,1,22.1,99.2,1040.7,8.9,2.4,3.7,21.9,26.2,4143.8
"537","B1014","2012WSRYT",119.7,87.7,1.3,1.4,"93.3",13.2,3.7,25.9,31.9,1.2,25.6,104,1135.7,9.6,2.2,4.3,25.1,30.6,4998.1
"538","B1064","2012WSRYT",99.4,85,1.2,1.3,"70.7",12.6,2.5,25.6,30.3,1.1,22.4,106.1,1001.9,10.4,2.3,4.6,24.5,27.5,3858.1
"539","B1066","2012WSRYT",114.6,91.6,1.2,1.3,"89.9",11.9,4.2,24.1,32,1.1,23.2,110.4,1008.1,9.4,2.4,4,22.9,26.7,4800.4
"540","B1067","2012WSRYT",115,85.4,1.2,1.3,"89.3",12.7,4.6,25,32.1,1.1,23.9,122.5,1130.2,9.3,2.4,4,23.5,29.9,4595.1
"541","B1068","2012WSRYT",114.2,86.8,1.3,1.4,"89.9",12.3,3.9,23,30.1,1.1,21.9,102.1,995.7,9.5,2.3,4.2,23.5,26.9,4545.4
"542","B1069","2012WSRYT",118.5,93,1.3,1.4,"94.9",12.8,2.1,23.5,32.1,1.1,24.4,111,1112.2,9.7,2.3,4.3,23,29.3,4128.1
"543","B1070","2012WSRYT",113,89.7,1.2,1.3,"87.3",11.6,1.9,24.8,30,1.1,21.8,124.2,1037.2,9.7,2.3,4.3,21.8,26.9,5782.8
"544","B1071","2012WSRYT",109,94.9,1.2,1.3,"84.8",14.7,3,23,28,1,19.9,94.7,1134.3,10.2,2.2,4.8,21.8,28.7,5788.8
"545","B1072","2012WSRYT",98.7,91.3,1.3,1.4,"71.6",13.6,4.6,21.7,30.7,1,21.8,92.2,1047.6,9.9,2.3,4.4,23.4,28.3,5462.1
"546","B1073","2012WSRYT",114.5,93.9,1.3,1.4,"89.1",14.3,4.5,23.9,31.9,1.1,22.7,107.3,1213.8,9.9,2.2,4.5,22.6,31.6,4954.4
"547","B1074","2012WSRYT",117.1,93.9,1.3,1.4,"91.7",12.5,3.3,24.5,32.1,1.1,23.8,109.7,1077,9.7,2.4,4.1,25,29.2,4677.8
"548","B1076","2012WSRYT",104.2,90.6,1.2,1.3,"77.9",13.8,3.3,24.1,30.1,1.1,21.4,98.5,1071.2,9.9,2.2,4.4,21.6,28,4545.4
"549","B1113","2012WSRYT",105.3,90.6,1.2,1.3,"80.3",13.3,5.3,23.2,31,1.1,22.4,102.5,1097.1,10,2.2,4.5,23.1,28.7,4238.1
"550","B1114","2012WSRYT",117.1,92.5,1.2,1.3,"94.3",11.8,3.7,22.7,30.1,1.1,22.2,92.5,920.5,10.3,2.2,4.8,25.1,23.8,3528.4
"551","B1116","2012WSRYT",115.3,93.9,1.2,1.3,"91.2",13.1,3.9,23.7,29.8,1.1,22.8,104.4,1134.8,10.4,2.2,4.8,23.1,29.5,4566.2
"552","B1117","2012WSRYT",117.3,89.2,1.2,1.3,"93.5",12.5,3,23.7,29.5,1.1,22.1,106.1,983.6,9.8,2.3,4.3,23.3,26.5,3561.8
"553","B1118","2012WSRYT",114.3,85.4,1.2,1.3,"87.1",13.2,3.1,26.2,32.9,1.1,24.4,112.5,1155.8,10.2,2.3,4.4,24.6,31,5699.4
"554","B1120","2012WSRYT",112,90.4,1.3,1.4,"85.3",13,5,24.4,31.9,1.1,24.2,95.9,1036,9.4,2.3,4.2,23.9,27.8,4594.4
"555","B1121","2012WSRYT",120.3,93,1.3,1.4,"97.6",12.7,5.3,23.3,30.5,1.1,23.5,107.6,1096.4,10.3,2.3,4.6,23.4,29,2987.1
"556","B1222","2012WSRYT",116.3,92.2,1.3,1.4,"92.2",12.1,6.4,23.4,32.6,1.2,26.1,107.2,1036.6,9.9,2.4,4.1,25.1,28.3,4969.8
"557","B1224","2012WSRYT",124.4,91.3,1.3,1.4,"100.2",11.9,5.8,25.2,35,1.1,25.6,107.4,1044.7,10.4,2.3,4.5,26,28.6,4948.4
"558","B1078","2012WSRYT",118.7,90.6,1.2,1.6,"92",11.8,4,26.4,36,1.3,31.1,122.6,1111.9,9.6,2.4,4,25,30.1,5221.4
"559","B1124","2012WSRYT",124.2,94.4,1.2,1.3,"101.7",13.1,4.1,23.3,29.2,1.1,21.9,96.2,1078.9,10.3,2.2,4.8,22.8,27.9,3656.4
"560","B1125","2012WSRYT",108.2,88.3,1.2,1.6,"83.2",12.3,7.4,23.6,32.6,1.2,26.1,121.9,1159.9,10,2.4,4.3,22.8,30.1,4014.4
"561","B1126","2012WSRYT",124.8,99.3,1.3,1.4,"104.3",11.8,2.2,22.6,25.8,1.1,19.1,99.3,998.3,10,2.4,4.2,25,27.3,4929.4
"562","B1022","2012WSRYT",120,86.4,1.2,1.3,"96.3",12.7,5.2,23.8,30.8,1.2,25.2,97.5,1019.3,10.5,2.4,4.4,27,28.6,4911.1
"564","B1024","2012WSRYT",110.8,88.3,2.5,1.6,"87.9",13.9,5.2,22,30.2,1.1,22.2,96.9,1149.2,9.8,2.5,4,26.7,31.8,6529.4
"565","B1025","2012WSRYT",110.6,86.8,1.3,1.4,"83.3",11.9,5.1,24.5,33.2,1.1,25.2,118.7,1049.6,9.9,2.4,4.2,25.1,28.8,4035.1
"566","B1026","2012WSRYT",109.4,81.5,1.3,1.7,"81.2",12.4,4.9,24.9,31.8,1.3,28.6,105.8,1078.7,9.9,2.6,3.9,26.4,29.7,6207.1
"567","B1027","2012WSRYT",117,85.4,3.9,1.6,"93.8",12.6,4.5,23,33.6,1.3,29.4,110.4,1152.8,9.5,2.5,3.9,25.8,31.7,6120.1
"568","B1029","2012WSRYT",134.8,88.3,1.2,1.9,"113.9",11.3,4.4,23.2,37.7,1.4,35.2,116.1,952.2,9.4,2.3,4.1,25.8,27.2,5309.8
"569","B1031","2012WSRYT",124.2,92.6,1.3,1.4,"102.4",12,7.3,23.4,34.2,1.1,25.2,98.7,993.5,10.3,2.5,4.1,25.1,28.3,5719.1
"570","B1084","2012WSRYT",119.4,93,1.2,1.3,"95.7",12.1,5.1,23.8,28.8,1.1,21.3,93.1,973,10.2,2.6,3.9,30.1,28.1,5211.4
"571","B1112","2012WSRYT",122.8,96.3,1.2,1.3,"99.2",13.8,3.6,24.1,33.2,1.1,25,101.1,1152.6,10.1,2.3,4.4,24.8,32,5406.1
"575","A1331","2012WSRYT",119.3,93.9,1.2,1.3,"94.9",12.4,4.2,24.4,27.2,1.1,19.4,95.8,1022.8,10.3,2.5,4.1,26.3,28.2,5476.8
"576","A1332","2012WSRYT",118.2,96.7,1.2,1.3,"91.2",12,2.4,26.5,37.1,1.2,30.7,123.7,1076,9.6,2.4,4,24,29.2,4373.4
"577","A1333","2012WSRYT",116.7,95.3,1.2,1.3,"91.3",12.8,2.5,25,29.9,1.1,21.6,86.7,999,10.3,2.4,4.3,25.5,27.3,4755.4
"578","A1294","2012WSRYT",123.3,85.9,5.9,1.9,"99.3",13,3.8,24.5,31.8,1.2,25.2,109.9,1046.9,10.3,2.4,4.3,25.9,29.5,4821.1
"579","A1295","2012WSRYT",122.3,88.7,1.2,1.3,"98.9",14.1,5.9,23.9,30.5,1.2,23.8,85.6,1011.5,9.8,2.4,4.2,25.2,29.1,4165.8
"580","A1296","2012WSRYT",115.4,91.1,1.2,1.3,"93.6",13.5,7.2,21.6,29.4,1.1,22.6,84.6,1013.3,9.7,2.3,4.2,23.2,26.1,4513.8
"581","A1337","2012WSRYT",121.6,93.9,1.3,1.4,"96.6",12.6,2.8,25.2,31.9,1.1,23.7,112.1,1047.6,10.6,2.3,4.5,25,29.2,4994.4
"582","A1338","2012WSRYT",116,94.4,1.2,1.3,"88",12.2,2.9,27.1,32.9,1,23.2,110.2,1011.1,10.7,2.2,4.8,25.2,28.1,5262.1
"583","A1339","2012WSRYT",131,95.3,1.2,1.6,"104.2",13,1.9,27.9,31.4,1.2,25.5,109.3,1083.9,10.8,2.5,4.3,30,32.9,5248.4
"584","A1297","2012WSRYT",118.6,87.3,1.2,1.3,"93.2",14.6,4.2,25.2,32.5,1.1,24.3,102.1,1247,9.9,2.4,4.1,25.8,33.9,5639.4
"585","A1340","2012WSRYT",128.2,97.2,1.2,1.3,"103.3",12.2,3.5,25.9,38,1.2,29.7,106.5,1036.9,11.4,2.5,4.6,28.6,29.9,4622.1
"586","A1341","2012WSRYT",126.1,93,5.9,1.6,"102.9",10.4,6,24.2,34.8,1.1,27.1,112.1,834.6,10.3,2.5,4.2,25.1,23.7,4297.1
"587","A1342","2012WSRYT",119.9,91.6,1.2,1.3,"92.7",12.1,5.1,26.9,38.2,1.1,27.4,105.1,1023.9,10.6,2.3,4.6,25.4,28.4,4986.1
"588","A1343","2012WSRYT",125.5,93.4,1.2,1.3,"102.2",13.4,5.3,24.2,31.1,1.1,22.9,97.1,1084,10.5,2.2,4.8,23.9,28.7,5046.1
"589","A1335","2012WSRYT",127.3,93,1.2,1.3,"102.9",11.6,5.6,25.4,29.6,1.2,23,113.4,1081.5,9.8,2.5,4,23.1,28.1,4799.8
"590","A1336","2012WSRYT",117.8,94.9,1.2,1.3,"93.8",12.3,5.1,23.8,28.4,1,20,103.7,1034.4,9.6,2.5,3.9,24.5,27.9,4623.4
"592","M1385","2012WSRYT",111.2,92.5,1.2,1.3,"87.6",14.1,4.1,22.8,31.3,1.1,22.2,96.8,1069,9.1,2.2,4.2,19.7,26.2,4381.4
"600","M1404","2012WSRYT",136.6,93.9,5.3,1.4,"118.5",12,2.9,23.3,33.1,1.3,28.9,123.6,1146.2,8.8,2.7,3.3,22.1,29.6,5106.4
"601","M1405","2012WSRYT",103.1,86.4,1.2,1.3,"77.2",13.3,3.7,23.7,29.6,1.1,22.2,98.8,1072,9.2,2.3,4,22.3,27.6,5294.8
"602","M1406","2012WSRYT",97.6,85.4,1.2,1.3,"73",13.2,3.5,22,27.5,1,18,91.1,1012.6,9.4,2.3,4.1,22.8,26.3,5253.8
"603","M1407","2012WSRYT",97.7,86.4,1.2,1.3,"71.7",12.7,3.6,23.2,30.4,1,21.3,109.9,1061,9.4,2.3,4.1,21.5,27.1,5368.1
"604","M1408","2012WSRYT",100.4,85.4,1.2,1.3,"73.9",12.7,4,23.9,29.6,1,20.4,104.8,1093.4,9,2.3,4,22.3,28,5504.1
"607","M1412","2012WSRYT",130,94.9,1.9,1.3,"106.2",13.1,5.6,25.2,28.7,1.1,21.4,106,1106.6,9.5,2.4,4,23.9,29.7,4892.1
"608","M1413","2012WSRYT",117.7,92.2,1.3,1.7,"91.3",11.9,5.8,25.4,32.4,1.4,30.3,127.9,1041.2,9.5,2.4,4,22.7,28.5,3082.1
"609","M1414","2012WSRYT",111.7,93,1.3,1.4,"88.2",11.8,8.1,21.9,30.9,1.2,24.3,112.8,1053.1,9.2,2.4,3.9,22.3,27.5,3987
"610","M1417","2012WSRYT",124.4,95.8,1.2,1.3,"101.3",11.7,4,23.9,30.2,1.1,21.5,118.8,1003.8,9.4,2.3,4.2,23,26.3,3832.8
"612","M1419","2012WSRYT",115.9,87.7,1.3,1.7,"91.5",14.2,2.7,23.5,29.1,1.1,20.9,95.3,1139,9.7,2.3,4.3,25,31.2,4084.4
"613","M1420","2012WSRYT",117.8,93.4,1.2,1.9,"95",13.1,2,22.8,30.3,1.2,23.5,99.5,1016.6,9.1,2.3,4,25.8,27.4,3915.4
"615","M1425","2012WSRYT",121.4,86.4,1.2,1.9,"97.9",10.8,6.4,23.9,30.7,1.6,31.6,113.3,984.3,8.2,3.2,2.7,27.2,27.7,3283.8
"617","M1429","2012WSRYT",119.9,97.5,1.3,1.4,"95.7",13.5,5.1,24.2,32.6,1.1,23.9,104.7,1159.5,9.5,2.5,3.8,25.3,32.1,4975.8
"618","M1430","2012WSRYT",115.4,96.7,1.2,1.4,"91.2",12.3,5.8,23.7,36.5,1.1,25.9,97.4,944.2,9.9,2.4,4.1,22.5,25.3,4530.1
"619","M1431","2012WSRYT",120.2,93.9,1.3,1.4,"96.3",11.7,6.6,24.1,31.7,1.2,25,123.1,1013.1,9.6,2.6,3.8,23.9,27.5,4313.8
"620","M1432","2012WSRYT",110.4,92.2,1.3,1.4,"86",13.7,3.1,22.3,28.4,1.1,20.4,94.2,1093.8,9.9,2.3,4.4,24.2,29.1,5269.4
"621","M1433","2012WSRYT",116.9,94.8,1.3,1.4,"92.1",12.1,5.3,24.1,34.3,1.1,24.4,105,978.9,9.5,2.4,4.1,25.1,26.5,4559.1
"628","M1380","2012WSRYT",127.2,93.4,1.9,1.6,"103.3",12.4,6.2,24.9,32.3,1.1,24.1,105.2,1016.8,9.2,2.6,3.5,26.5,29.6,4963.8
"636","M1438","2012WSRYT",110.6,86.4,1.2,1.9,"84.7",12.2,4.8,24.6,32.5,1.2,26.5,105.5,1016.2,9.6,2.5,3.9,25.3,28,4973.8
"641","B1162","2012WSRYT",125.4,94.9,1.2,1.3,"100",12.5,3.7,26,33,1.1,23.4,104.3,1042.6,10.5,2.5,4.2,25.7,28.9,4906.8
"642","B1030","2012WSRYT",143.5,86.8,6.6,1.9,"122.4",11.7,4.6,24.5,36,1.2,28.3,142.2,1169.4,9.3,2.4,3.9,24.8,32.4,4858.4
"643","B1171","2012WSRYT",134,101.5,1.2,1.3,"111",12.7,3.6,25,33.5,1.1,24.7,97.6,1071.2,10.1,2.5,4,27.3,30.5,5559.8
"644","B1237","2012WSRYT",124.5,93.9,1.3,1.4,"*",12.6,4.3,24.2,31.7,1.2,24.5,106.8,988.7,10.6,2.4,4.5,25.1,28.1,4605.8
"645","B1091","2012WSRYT",116.3,90.4,1.3,1.4,"90.6",12.1,4.5,24.6,32.2,1.2,26.5,112.2,1066,10.2,2.5,4.1,26.3,29.4,4173.4
"646","M1378","2012WSRYT",117.9,93,1.3,1.4,"96.7",12.5,4.2,21.5,28.8,1.1,22,102.7,1056.5,9.2,2.8,3.3,26.2,29,4001.8
"647","B1167","2012WSRYT",129.9,99.6,1.2,1.3,"107.7",12,3.1,23.9,32.9,1.1,24.5,110.9,1039.1,9.7,2.4,4.2,22.5,27.6,4789.8
"648","B1168","2012WSRYT",116.5,90.1,1.2,1.6,"94.6",12.9,6.4,21.8,30.3,1.2,25.3,100.8,955.4,9.7,2.5,4,23.9,26.2,4493.8
"649","B1170","2012WSRYT",123.9,93.9,1.2,1.3,"99.6",12.8,4.4,24.9,36,1.3,31.2,104,1050.3,10.3,2.6,4,28.3,30.2,4929.1
"650","B1088","2012WSRYT",116.3,89.7,6.6,1.3,"92.4",13.8,5.9,23.6,29.6,1.2,23.8,108.1,1170.1,10.2,2.5,4.1,24.7,31.9,4821.4
"651","B1236","2012WSRYT",117.6,99.1,1.2,1.6,"94.6",11.7,3.8,23,31.7,1.1,23.8,123.3,1017.6,9.7,2.2,4.4,21.8,26.4,4090.8
"652","B1093","2012WSRYT",121.4,90.6,1.2,1.3,"94.6",12.1,3.9,26.7,34.5,1.1,25.5,112.6,1060.6,10,2.6,3.9,26.8,29.5,5158.4
"653","B1172","2012WSRYT",124.4,94.4,1.2,1.3,"99.4",12.9,2.4,25.6,32,1.2,26.4,109.6,1076.4,10.1,2.9,3.5,30.3,32.9,5564.4
"654","B1094","2012WSRYT",127,93,1.3,1.4,"105.1",12,5.6,24.1,32.1,1.3,28,106.9,1056.9,9.7,2.4,4.1,25.3,28.7,5211.4
"655","B1040","2012WSRYT",123.3,90.4,1.3,1.4,"99.1",11.6,4.1,25,33.1,1.1,25,108.1,971.7,10.5,2.3,4.7,25.1,26.3,4321.4
"656","B1238","2012WSRYT",129.6,96.6,2.3,1.7,"109.4",12,3.1,23.4,31.4,1.1,23.6,100.2,984.4,10.7,2.7,4,29.2,27.9,4680.8
"657","B1173","2012WSRYT",139.5,93.9,1.3,1.4,"116.6",12.5,3.1,27.6,34.4,1.2,28.3,111.3,1126.3,9.8,2.4,4.2,24.5,29.7,4844.4
"658","B1174","2012WSRYT",122.8,93.9,1.3,1.4,"100.3",12.7,4,23.6,30.1,1.2,23.9,107.5,1071.9,10.7,2.3,4.6,25.3,29.3,5044.4
"659","B1175","2012WSRYT",114.8,88.3,1.2,1.3,"90.7",12.2,6.5,23.6,30.4,1.1,22,108.5,1013.6,9.9,2.3,4.4,22,26.6,5346.1
"660","B1239","2012WSRYT",120.4,94.8,1.3,1.4,"*",11.5,4.3,22.8,32.6,1,22.3,106.8,1068.8,9.8,2.4,4.1,25.1,29.1,4533.4
"661","B1241","2012WSRYT",125.6,103.8,1.2,1.3,"*",12,3.1,25.5,32.2,1.2,25.3,106.8,1141.5,9.9,2.4,4.1,25.6,31.7,3455.8
"662","B1242","2012WSRYT",125.5,103.8,1.2,1.3,"99.6",14.2,2,26.4,30.2,1.1,23.2,99.5,1158.2,9.8,2.5,3.9,26.9,33,4373.1
"663","B1243","2012WSRYT",115.7,98.4,1.3,1.4,"89.1",12.8,4.5,25.2,32.6,1.1,23.6,102,1046.2,10,2.5,4.1,27.7,29.4,4481.1
"664","B1128","2012WSRYT",127.3,95.7,5.3,1.4,"105.8",13,3.8,23.8,32.8,1.2,25.6,106.5,1068.7,10.4,2.3,4.6,23.3,28.9,4139.1
"665","B1251","2012WSRYT",124.7,89.2,1.2,1.6,"99.5",12.6,3.1,25.7,29.8,1.2,23.2,110.2,930.4,10.3,2.3,4.4,25.1,26.6,4685.4
"666","B1129","2012WSRYT",112.8,93.9,1.3,1.4,"86.1",12.7,3.2,24.5,29.8,1.1,21.2,117.6,1082.2,10.1,2.2,4.5,24.6,28.9,4792.4
"667","B1176","2012WSRYT",119.5,90.6,1.2,1.3,"94.1",13.5,3.8,25.3,30.3,1,21.4,109.6,1131.5,9.6,2.4,4.1,22.8,29.6,4969.4
"668","B1177","2012WSRYT",116.3,95.3,1.2,1.3,"93.3",12,4.3,22.8,32.9,1.1,24.1,121.2,1050.9,9.8,2.5,3.9,24.4,28.6,4550.4
"669","B1130","2012WSRYT",112.5,93.9,1.3,1.4,"84.6",11.7,2.3,25.3,29.4,1.2,23.7,105.3,988.9,10.1,2.3,4.4,25,27,4499.8
"670","B1244","2012WSRYT",118.6,94.9,1.2,1.6,"95.9",12.9,4,22.9,30,1.1,22.5,117.8,1194.1,9.7,2.3,4.3,21.3,29.8,4951.8
"671","B1179","2012WSRYT",121.7,98.2,1.2,1.3,"97.9",12.1,6.8,24.2,32.2,1.1,23.3,113.2,953.7,10,2.3,4.4,23.7,26.2,4290.4
"672","B1180","2012WSRYT",107.8,93.9,1.3,1.4,"80.1",12.3,2.5,24.3,30.8,1.2,23.9,102,1000.1,9.9,2.5,3.9,25.1,27.6,5151.8
"673","B1181","2012WSRYT",109.7,93,1.2,1.6,"84.8",12.3,3.1,23.7,31,1.1,22.1,110.5,1050.8,9.3,2.3,4,22.8,27.3,4046.4
"674","B1183","2012WSRYT",130.7,93,1.3,1.4,"104.3",12.7,3.5,28.3,36.1,1.3,31.2,107.9,1036.5,10,2.7,3.8,29.4,30,4350.1
"675","B1245","2012WSRYT",127.1,98.4,1.3,1.4,"100.9",11.6,2.5,27.4,35.9,1.5,35.2,140.2,1070.2,10,2.3,4.4,24,29,4282.8
"676","B1247","2012WSRYT",132.1,97.2,1.2,1.3,"108.2",13.6,2.7,25.6,33.2,1.1,25.1,122.4,1304.4,9.8,2.3,4.3,22.7,33.1,5217.8
"677","B1133","2012WSRYT",124.2,93,1.3,1.4,"100",12,4.4,25.2,33.1,1.2,27.3,110.5,1042.3,9.8,2.6,3.8,24.3,28.4,4571.8
"678","B1135","2012WSRYT",118.4,94.4,1.2,1.9,"93.5",13,2.5,24.7,33.9,1.2,26.3,107.2,1026.1,9.8,2.4,4.2,24.3,27.9,4307.1
"679","B1136","2012WSRYT",111.7,90.4,1.3,1.4,"86.7",13.4,4.8,23,30.3,1,21.3,90.3,1023.8,9.3,2.5,3.7,23.7,27.9,4709.4
"680","B1137","2012WSRYT",115.4,96.7,1.2,1.3,"91.8",12.6,9,23.3,31.6,1.1,23.9,106.6,1046.4,9.7,2.3,4.2,24.5,28.4,4548.8
"681","B1138","2012WSRYT",124.4,90.4,1.3,1.7,"100",12.1,3.6,25.3,34.8,1.1,26.8,111.4,1057.8,9.7,2.2,4.4,25.1,28.9,4659.4
"682","B1041","2012WSRYT",114.9,89.2,1.2,1.3,"90.6",12.6,7.7,23.8,32.2,1.2,25.2,110.8,1118.5,10.1,2.5,4.1,26.2,31,5547.8
"683","B1042","2012WSRYT",112.9,86.8,1.3,1.4,"87.4",12.8,6.9,23.7,30.6,1.2,25.4,97.7,1065,10.1,2.4,4.3,27.3,29.3,4996.1
"685","B1139","2012WSRYT",111.6,95.8,1.2,1.3,"85.2",12.1,5.1,25.1,33.1,1.2,25.6,104.3,1043.3,9.9,2.4,4.1,26.7,29.4,4331.8
"686","B1140","2012WSRYT",121.9,95.7,1.3,1.4,"97.2",12.3,3,25,32,1.1,22.8,97.9,995.1,9.6,2.5,3.9,23.9,27.8,4989.1
"687","B1141","2012WSRYT",119.3,93.4,1.2,1.6,"94.1",13.6,3.7,25.1,32.5,1.1,23.9,108.3,1162,10,2.5,4.1,28,32.9,4795.1
"688","B1142","2012WSRYT",114.2,94.4,1.2,1.3,"89.3",14.3,2.3,24.2,30.1,1.2,24.1,103.3,1105,9.9,2.4,4,26.9,32,4715.8
"689","B1143","2012WSRYT",115.3,94.4,1.2,1.6,"89.4",13.1,2.5,25.2,30.5,1.2,24.4,99.6,1064.3,9.7,2.6,3.7,26.7,29.8,5505.1
"690","B1144","2012WSRYT",114,93,1.3,1.4,"86.4",12.7,3.3,25.5,31.2,1.2,24.8,105.4,1006.2,9.6,2.4,4.1,26.2,28.2,4678.4
"691","B1043","2012WSRYT",116.3,85.9,1.2,1.3,"92.1",12.4,6,23.8,34.1,1.2,26.7,99.8,1016.9,9.2,2.4,3.8,25,27.7,5268.4
"692","B1044","2012WSRYT",115.5,95.7,1.3,1.4,"91.2",13.9,2.3,23.4,30.2,1,20.2,99.8,1074.5,10,2.4,4.3,24,29.2,4174.1
"693","B1045","2012WSRYT",119.6,86.8,1.3,1.4,"95.6",12,5.1,24,32,1,22.5,104,1006.8,10,2.4,4.2,23.5,27,4545.1
"694","B1145","2012WSRYT",122.3,95.8,1.2,1.3,"98.6",12,3.1,24.2,32.3,1.2,25.2,116.7,1093.4,9.9,2.4,4.2,23.2,28.4,4683.1
"695","B1146","2012WSRYT",117.4,91.3,1.3,1.4,"92.4",12.5,4.2,24.3,32.5,1.1,24,111.3,1093.5,9.8,2.4,4.1,24.2,28.9,4434.1
"696","B1184","2012WSRYT",117.9,89.7,1.2,1.3,"93.6",12.2,4.4,24.2,31.1,1.1,22.8,102.1,1039.3,9.7,2.5,3.9,25.6,28.6,4818.4
"697","B1185","2012WSRYT",119.9,91.3,4.3,1.4,"94.7",12.7,2.9,25,35.4,1.2,28.2,116.3,1165.5,9.9,2.2,4.5,24.1,31.4,5811.8
"698","B1186","2012WSRYT",119.2,93.4,5.2,1.9,"96.9",13.8,5.6,22.6,31.6,1.1,24,103.8,1144.5,9.5,2.4,3.9,22.2,29.2,4426.1
"699","B1187","2012WSRYT",132.5,93.9,1.2,1.3,"109.3",12.2,5.9,25,35.7,1.1,26.7,104.4,1044.2,9.9,2.6,3.9,28.5,29.8,5103.8
"700","B1188","2012WSRYT",118.7,89.2,1.2,1.3,"95.8",12.2,4.1,23.6,29.8,1,20.9,97.2,946.8,9.7,2.3,4.1,25.1,26.4,5215.1
"701","B1189","2012WSRYT",121.7,94.8,1.3,1.4,"98.1",13,2,24.2,27.2,1.1,21.1,97.4,1061.3,9.5,2.4,4,24.3,28.5,4819.4
"702","B1190","2012WSRYT",132.4,94.4,1.2,1.3,"108.1",12.1,4.4,25.9,30.5,1.1,21.8,109.9,1047.2,10,2.4,4.1,24.1,28,4940.8
"703","B1191","2012WSRYT",129.5,94.4,1.2,1.3,"104.4",13.1,2.5,26.2,31.9,1.1,22.8,113.9,1175.9,10.8,2.1,5.2,23.6,30.5,4682.1
"704","B1192","2012WSRYT",126.1,94.8,1.3,1.4,"101.9",12.8,3.8,25.6,32.6,1.1,24.3,110.3,1098.5,10.6,2.3,4.6,23.1,28.8,4876.1
"705","B1047","2012WSRYT",118.9,93,1.2,1.3,"93.3",13.3,2.9,25.4,33.3,1.1,24.5,99.7,1025.9,9.5,2.4,4,25.9,27.3,4364.4
"706","B1193","2012WSRYT",119.4,102.9,1.3,1.4,"95.7",12.3,2.5,23.7,29.4,1.1,21.8,96.8,1009.4,9.9,2.4,4.1,26.2,27.7,4713.8
"707","B1194","2012WSRYT",121.1,92.2,1.3,1.4,"97.5",11.7,3,24.1,28.8,1,20.4,120.1,991.1,9.5,2.5,3.8,24.6,27,4778.1
"708","B1195","2012WSRYT",127.3,93.9,1.2,1.6,"103.3",11.9,6.3,25,34.6,1.1,26.2,112.7,1029.1,9.8,2.5,4,27.3,29.6,4727.8
"709","B1196","2012WSRYT",123,94.9,1.2,1.3,"100.8",12.1,5.9,23,29.2,1.1,22.4,104.8,1062.7,10,2.4,4.2,26.5,29.2,5325.8
"710","B1197","2012WSRYT",117.4,95.7,1.3,1.7,"91.4",12.5,2.6,25.1,31.3,1.3,26.7,107.2,1065.3,9.9,2.5,4,26.7,29.8,5703.8
"711","B1147","2012WSRYT",125.4,89.5,1.3,1.7,"101.2",12.8,2.8,25.5,31.2,1,22,98.1,1074,9.9,2.5,3.9,28.5,30.4,5316.8
"712","A1259","2012WSRYT",112.2,82.1,1.2,1.9,"86",13.6,2.7,25,32.6,1.1,24.5,102.5,1114.4,10.1,2.5,4,26.3,31,5053.4
